"EntityId","NeId","NeAlias","NeType","EntityType","Time","Failure","C_Avg_Value","C_Max_Value","C_Min_Value","C_from0to5_Value","C_from5to10_Value","C_from10to15_Value","C_from15to20_Value","C_from20to25_Value","C_from25to30_Value","C_from30to35_Value","C_from35to40_Value","C_from40to45_Value","C_from45to50_Value","C_from50to55_Value","C_from55to60_Value","C_from60to65_Value","C_from65to70_Value","C_from70to75_Value","C_from75to80_Value","C_from80to85_Value","C_from85to90_Value","C_from90to95_Value","C_from95to100_Value","ElementID"
EN-0-16849-1-0-11-9-104-0-0-0-0-35-0,16849,GL0030,AMM 20PB,WAN Eth Bandwidth TC 0,2018-09-03 23:45:00.000,Success,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_WAN_Eth_Bandwidth_TC_0(EN-0-16849-1-0-11-9-104-0-0-0-0-35-0)
EN-0-16849-1-0-11-9-104-0-0-0-0-35-0,16849,GL0030,AMM 20PB,WAN Eth Bandwidth TC 0,2018-09-04 00:00:00.000,Success,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_WAN_Eth_Bandwidth_TC_0(EN-0-16849-1-0-11-9-104-0-0-0-0-35-0)
EN-0-16849-1-0-11-9-100-0-0-0-0-36-0,16849,GL0030,AMM 20PB,WAN Eth Bandwidth TC 1,2018-09-03 23:30:00.000,Success,12891.0,52712.0,1301.0,344.0,358.0,145.0,37.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_WAN_Eth_Bandwidth_TC_1(EN-0-16849-1-0-11-9-100-0-0-0-0-36-0)
EN-0-16849-1-0-11-9-100-0-0-0-0-36-0,16849,GL0030,AMM 20PB,WAN Eth Bandwidth TC 1,2018-09-03 23:45:00.000,Success,13946.0,57764.0,1578.0,234.0,474.0,144.0,26.0,11.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_WAN_Eth_Bandwidth_TC_1(EN-0-16849-1-0-11-9-100-0-0-0-0-36-0)
EN-0-16849-1-0-11-9-100-0-0-0-0-36-0,16849,GL0030,AMM 20PB,WAN Eth Bandwidth TC 1,2018-09-04 00:00:00.000,Success,14884.0,45057.0,1271.0,247.0,314.0,317.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_WAN_Eth_Bandwidth_TC_1(EN-0-16849-1-0-11-9-100-0-0-0-0-36-0)
EN-0-16849-1-0-11-9-101-0-0-0-0-36-0,16849,GL0030,AMM 20PB,WAN Eth Bandwidth TC 1,2018-09-03 23:30:00.000,Success,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_WAN_Eth_Bandwidth_TC_1(EN-0-16849-1-0-11-9-101-0-0-0-0-36-0)
EN-0-16849-1-0-11-9-101-0-0-0-0-36-0,16849,GL0030,AMM 20PB,WAN Eth Bandwidth TC 1,2018-09-03 23:45:00.000,Success,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_WAN_Eth_Bandwidth_TC_1(EN-0-16849-1-0-11-9-101-0-0-0-0-36-0)
EN-0-16849-1-0-11-9-101-0-0-0-0-36-0,16849,GL0030,AMM 20PB,WAN Eth Bandwidth TC 1,2018-09-04 00:00:00.000,Success,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_WAN_Eth_Bandwidth_TC_1(EN-0-16849-1-0-11-9-101-0-0-0-0-36-0)
EN-0-16849-1-0-11-9-102-0-0-0-0-36-0,16849,GL0030,AMM 20PB,WAN Eth Bandwidth TC 1,2018-09-03 23:30:00.000,Success,3468.0,30650.0,18.0,879.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_WAN_Eth_Bandwidth_TC_1(EN-0-16849-1-0-11-9-102-0-0-0-0-36-0)
EN-0-16849-1-0-11-9-102-0-0-0-0-36-0,16849,GL0030,AMM 20PB,WAN Eth Bandwidth TC 1,2018-09-03 23:45:00.000,Success,2368.0,37501.0,8.0,883.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_WAN_Eth_Bandwidth_TC_1(EN-0-16849-1-0-11-9-102-0-0-0-0-36-0)
EN-0-16849-1-0-11-9-102-0-0-0-0-36-0,16849,GL0030,AMM 20PB,WAN Eth Bandwidth TC 1,2018-09-04 00:00:00.000,Success,5870.0,77800.0,4.0,817.0,18.0,12.0,26.0,22.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_WAN_Eth_Bandwidth_TC_1(EN-0-16849-1-0-11-9-102-0-0-0-0-36-0)
EN-0-16849-1-0-11-9-103-0-0-0-0-36-0,16849,GL0030,AMM 20PB,WAN Eth Bandwidth TC 1,2018-09-03 23:30:00.000,Success,11245.0,59548.0,1964.0,672.0,214.0,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_WAN_Eth_Bandwidth_TC_1(EN-0-16849-1-0-11-9-103-0-0-0-0-36-0)
EN-0-16849-1-0-11-9-103-0-0-0-0-36-0,16849,GL0030,AMM 20PB,WAN Eth Bandwidth TC 1,2018-09-03 23:45:00.000,Success,8571.0,60496.0,246.0,806.0,76.0,3.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_WAN_Eth_Bandwidth_TC_1(EN-0-16849-1-0-11-9-103-0-0-0-0-36-0)
EN-0-16849-1-0-11-9-103-0-0-0-0-36-0,16849,GL0030,AMM 20PB,WAN Eth Bandwidth TC 1,2018-09-04 00:00:00.000,Success,16034.0,59714.0,90.0,500.0,266.0,89.0,41.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_WAN_Eth_Bandwidth_TC_1(EN-0-16849-1-0-11-9-103-0-0-0-0-36-0)
